Image,Area,Perimeter,Compactness,MQI
cju2ti1du4idn0878giuozonw.jpg,60658,1232.06,0.5021,0.5021
cju2u73dj53oz0878486k8k4b.jpg,62644,1053.15,0.7098,0.7098
cju2uokeg5jm20799xwgsyz89.jpg,118727,1636.35,0.5572,0.5572
cju2yb31a8e8u0878wdashg7o.jpg,74502,1109.74,0.7602,0.7602
cju2yg5ht8i4p087800js8hp4.jpg,81803,1471.16,0.475,0.475
cju2yi9tz8vky0801yqip0xyl.jpg,111290,1378.97,0.7355,0.7355
cju2yljr0yzhw0988ecf271ly.jpg,92515,1416.37,0.5795,0.5795
cju2yv4imv6cz099314jveiib.jpg,2137,759.66,0.0465,0.0465
cju2yw4s7z7p20988lmf2gdgd.jpg,34759,720.64,0.8411,0.8411
cju2z45kuzf6d0988nz2c819m.jpg,16216,498.27,0.8208,0.8208
cju2zdvjn9h7r08553cp4eed5.jpg,31272,743.71,0.7105,0.7105
cju2zp89k9q1g0855k1x0f1xa.jpg,12931,448.43,0.8081,0.8081
cju2zpw4q9vzr0801p0lysjdl.jpg,14093,481.12,0.7651,0.7651
cju2zxja9w1eh09933609ho9z.jpg,17858,534.03,0.7869,0.7869
cju30bmab08bi0835mvlr6e0r.jpg,42231,825.27,0.7792,0.7792
cju30gxjq0djk0988jytm49rs.jpg,38607,787.41,0.7825,0.7825
cju30k2z40ds308353kdew70n.jpg,38568,777.13,0.8025,0.8025
cju30u1hbakn808019g15nb8b.jpg,32206,722.88,0.7745,0.7745
cju30u1hbakn808019g15nb8b.jpg,144557,1664.47,0.6557,0.6557
cju30ywtc0oar0835bp2en7ec.jpg,63151,1093.82,0.6633,0.6633
cju30ywtc0oar0835bp2en7ec.jpg,2395,196.33,0.7808,0.7808
cju31y80qbawn0801twwm2l5s.jpg,82922,1165.76,0.7668,0.7668
cju32gzs6xo8x0993r8tedbpb.jpg,50097,964.52,0.6767,0.6767
cju32gzs6xo8x0993r8tedbpb.jpg,3112,247.74,0.6372,0.6372
cju32jcdabepz0878d0cznmfe.jpg,60925,988.95,0.7828,0.7828
cju32upim1z7u0988l883nqp6.jpg,65132,1130.55,0.6404,0.6404
cju33o12x2jm50988944mxq0v.jpg,15238,503.4,0.7556,0.7556
cju33x0f22peh0988g0ln7w5v.jpg,11261,421.16,0.7978,0.7978
cju34eqjpcpm508788b3lhp97.jpg,44512,832.38,0.8073,0.8073
cju34i3qvcyog0855qiejxx5w.jpg,111506,1687.77,0.4919,0.4919
cju34m7h536wq0988xz7gx79v.jpg,44871,1242.12,0.3655,0.3655
cju34m7h536wq0988xz7gx79v.jpg,30193,853.14,0.5213,0.5213
cju34sh43d8zm08019xbwhc0o.jpg,50752,1062.68,0.5647,0.5647
cju34uhepd3dd0799hs8782ad.jpg,12441,444.48,0.7914,0.7914
cju34xspwzenf0993cyzajv9n.jpg,67274,1020.45,0.8118,0.8118
cju35fxqyzt5p0993vusm54qz.jpg,67942,1212.45,0.5808,0.5808
cju35oyvd3y850988km12hdz1.jpg,36172,794.74,0.7197,0.7197
cju3tvffffx5f0818t5ov22al.jpg,97705,1382.96,0.642,0.642
cju3u1c8tfyqx08503iedc3mx.jpg,17772,529.55,0.7964,0.7964
cju3u4lxmg59o0755rz42b9en.jpg,60412,1068.32,0.6652,0.6652
cju3v11mrgwwb0755u242ygye.jpg,33289,775.47,0.6956,0.6956
cju3v56bwgy8v0871w14pz8fx.jpg,46932,1638.0,0.2198,0.2198
cju3v56bwgy8v0871w14pz8fx.jpg,79354,1775.18,0.3164,0.3164
cju3v664kh0px0818y4y7wolf.jpg,30556,839.13,0.5453,0.5453
cju3v664kh0px0818y4y7wolf.jpg,3298,302.37,0.4533,0.4533
cju3x7xsaijq80818f0psavav.jpg,55464,930.57,0.8049,0.8049
cju3xeexgii1j0817zs68tb4g.jpg,100053,1997.22,0.3152,0.3152
cju3xhpvvimda0987ygrpzni2.jpg,38698,813.7,0.7345,0.7345
cju3xiic0ilzp0850lusrb42j.jpg,13798,489.36,0.724,0.724
cju3xl264ingx0850rcf0rshj.jpg,36785,891.11,0.5821,0.5821
cju3y9difj6th0801kd1rqm3w.jpg,43398,815.01,0.821,0.821
cju40jl7skiuo0817p0smlgg8.jpg,137266,1605.71,0.669,0.669
cju40r6jrksyk0871wg98zgho.jpg,67970,1058.1,0.7629,0.7629
cju40sdwukv3k0755y99ug1k8.jpg,45240,886.61,0.7232,0.7232
cju40u30gkuzc0871rq7t666d.jpg,29553,684.2,0.7933,0.7933
cju410dnfl0960755y8lu8d79.jpg,12042,428.78,0.8231,0.8231
cju410dnfl0960755y8lu8d79.jpg,22785,620.96,0.7426,0.7426
cju410dnfl0960755y8lu8d79.jpg,72929,1292.41,0.5487,0.5487
cju424hy5lckr085073fva1ok.jpg,48613,867.51,0.8117,0.8117
cju42nm68lpyo0818xvvqmupq.jpg,64332,1383.82,0.4222,0.4222
cju42nm68lpyo0818xvvqmupq.jpg,7152,414.05,0.5242,0.5242
cju42py9mlqyd0818u3d1d7ga.jpg,90150,2210.7,0.2318,0.2318
cju42py9mlqyd0818u3d1d7ga.jpg,50044,985.71,0.6472,0.6472
cju42tauqlo5p08171l3cuo4b.jpg,28676,658.94,0.8299,0.8299
cju43b8daly4408170e5ev06g.jpg,82707,1202.33,0.719,0.719
